iter	Accuracy	Logloss
0	0.9192470141	0.4553470218
1	0.9191351291	0.335672592
2	0.9199462952	0.2801320948
3	0.9220721099	0.2476765971
4	0.9301557998	0.2252236865
5	0.9343514867	0.2094319109
6	0.946463036	0.1919554056
7	0.9491482756	0.1815856588
8	0.9498195855	0.1761644459
9	0.9506307516	0.1722882301
10	0.9509664065	0.1676047422
11	0.9515538027	0.164795655
12	0.9512740902	0.16336172
13	0.952952365	0.1609874914
14	0.9525327963	0.1591934703
15	0.9532041062	0.1568102815
16	0.9539593298	0.1544049018
17	0.9541830998	0.1536106827
18	0.955917317	0.1497552003
19	0.9559452882	0.1491785461
20	0.9559732595	0.147969836
21	0.9563648569	0.1470790424
22	0.9566165981	0.1461220562
23	0.9565326844	0.1449923356
24	0.9569242818	0.1442515254
25	0.9569522531	0.1435899138
26	0.9570921093	0.1430549015
27	0.9570081956	0.1423014125
28	0.9569242818	0.141683064
29	0.9570081956	0.140858752
30	0.9569522531	0.1403037953
31	0.9568123969	0.1389237012
32	0.9573158793	0.1382441834
33	0.9574837067	0.1376157639
34	0.9576515342	0.1367971441
35	0.9576795055	0.135958331
36	0.9578193617	0.1352694454
37	0.9581829879	0.1339948242
38	0.9581829879	0.133439072
39	0.9580990742	0.1329402268
40	0.9582389304	0.1325288634
41	0.9584347291	0.1319032657
42	0.9586864703	0.1314122984
43	0.9590500965	0.1308509992
44	0.9592458952	0.1303429534
45	0.9594137227	0.1298986242
46	0.9593857514	0.1295069358
47	0.9598892339	0.1277684854
48	0.9600011188	0.1271692564
49	0.9598053201	0.1268391954
50	0.9601409751	0.1260668535
51	0.9603088026	0.1256239733
52	0.9605046013	0.1251415083
53	0.96092417	0.1242608735
54	0.9607563425	0.1226647103
55	0.9608682275	0.1221788676
56	0.9612877961	0.1198236615
57	0.9615395374	0.1191901461
58	0.9616234511	0.1187554896
59	0.9617912786	0.1181537604
60	0.9618751923	0.1177565403
61	0.9621549048	0.1171098027
62	0.962182876	0.1165899814
63	0.9623507035	0.1145421211
64	0.9623786747	0.1139997416
65	0.9626583872	0.1133781289
66	0.9627423009	0.1128856102
67	0.9627143297	0.1123912296
68	0.9627423009	0.1120383968
69	0.9627982434	0.1114506328
70	0.9631059271	0.1108437449
71	0.9634136108	0.110131621
72	0.9634415821	0.1096219283
73	0.963889122	0.1088821781
74	0.9639730357	0.1080988272
75	0.9641408632	0.1076161553
76	0.9642807194	0.107075291
77	0.9643926044	0.1065718524
78	0.9643086907	0.1059046951
79	0.9644765181	0.1054688577
80	0.9647282593	0.1048397914
81	0.9646443456	0.1045627202
82	0.9650359431	0.1039295213
83	0.9652037705	0.1036131082
84	0.9652876843	0.1031528738
85	0.9655114542	0.1026354872
86	0.9655114542	0.1022863562
87	0.9655673967	0.1019786211
88	0.9657352242	0.1015806061
89	0.9660988504	0.1010872926
90	0.9664345053	0.1005965481
91	0.9665184191	0.1001743077
92	0.9667142178	0.09978576712
93	0.9669100165	0.09934506735
94	0.9672736427	0.09883218019
95	0.9673575564	0.09861577413
96	0.9672736427	0.09835860737
97	0.9672736427	0.09785638876
98	0.9675253839	0.09726574093
99	0.9678050964	0.09683068104
100	0.9681407513	0.09631838646
101	0.9680568376	0.09594903729
102	0.9682526363	0.09530719749
103	0.9688120612	0.0946891781
104	0.9688400324	0.09431029778
105	0.9689519174	0.09402955339
106	0.9690078599	0.09367119943
107	0.9691756874	0.09311207674
108	0.9689519174	0.09258200011
109	0.9694274286	0.09225245138
110	0.9707700484	0.09034097397
111	0.9708539621	0.0900406934
112	0.9707700484	0.08980741381
113	0.9709378759	0.08960216073
114	0.9710217896	0.08930367887
115	0.9710777321	0.08892365754
116	0.9713294733	0.08859114893
117	0.9712735308	0.08817923173
118	0.9716091858	0.08778732893
119	0.9720567257	0.08744311496
120	0.9721126682	0.08707785829
121	0.9720846969	0.08664229087
122	0.9722804957	0.08581669068
123	0.9721686107	0.08561934397
124	0.9723923806	0.08515551183
125	0.9726720931	0.08471244994
126	0.9727000643	0.08429164839
127	0.9728678918	0.08391455599
128	0.9729238343	0.08354660921
129	0.973119633	0.0831710689
130	0.9734832592	0.08200445019
131	0.9735671729	0.08175879285
132	0.9737629717	0.08146980072
133	0.9740986266	0.08118289895
134	0.9743223966	0.08087925824
135	0.9743783391	0.08058243938
136	0.974602109	0.08025764087
137	0.9746300803	0.07994646252
138	0.9746580515	0.07979847053
139	0.974825879	0.07948735094
140	0.974937764	0.07913152595
141	0.975049649	0.07886902414
142	0.9753293614	0.07830876969
143	0.9755811026	0.0779939624
144	0.9756090739	0.07772547404
145	0.9760006713	0.07733260452
146	0.9760566138	0.07701583179
147	0.9761125563	0.07684231575
148	0.9763922687	0.0759144627
149	0.97619647	0.0757065125
150	0.9767279237	0.07539073813
151	0.9771195211	0.0751514992
152	0.9771754636	0.07488580107
153	0.9772873486	0.07439495731
154	0.9775390898	0.07422083219
155	0.9775111186	0.07398028706
156	0.9774551761	0.07376309968
157	0.9775111186	0.07352603478
158	0.9777348885	0.07322136676
159	0.977790831	0.07241754201
160	0.9778467735	0.07219228386
161	0.977790831	0.07201463989
162	0.9780705435	0.07178693551
163	0.9783222847	0.07161248077
164	0.9782663422	0.07123075738
165	0.9784341697	0.07102162111
166	0.9786859109	0.07067562417
167	0.9789656233	0.07043304762
168	0.9789935946	0.07024386233
169	0.9792173645	0.06972656901
170	0.9791893933	0.06945778125
171	0.9791893933	0.0692083311
172	0.9792173645	0.06898629169
173	0.979497077	0.06868341151
